stop_lat,wheelchair_boarding,stop_code,stop_lon,stop_timezone,stop_url,parent_station,stop_desc,stop_name,location_type,stop_id,zone_id
44.667463,0,8841,-63.531104,,,,,Baker Dr After Norm Newman Dr (8841),0,8841,
44.66545,0,8842,-63.529918,,,,,Baker Dr After Coldstream Run (8842),0,8842,
44.663159,0,8843,-63.529917,,,,,Baker Dr After Freshwater Tr (8843),0,8843,
44.73982,0,8844,-63.347126,,,,,Hwy 7 Before Parker Ln (8844),0,8844,
44.658543,0,8845,-63.530053,,,,,Baker Dr At Civic 220 (8845),0,8845,
44.655783,0,8846,-63.529274,,,,,Baker Dr After Basswood Run (8846),0,8846,
44.655561,0,8847,-63.529258,,,,,Baker Dr Before Basswood Run (8847),0,8847,
44.662952,0,7069,-63.642745,,,,,Lacewood Dr After Gateway Rd (7069),0,7069,
44.661137,0,7068,-63.63829,,,,,Lacewood Dr After Glenforest Dr (7068),0,7068,
44.663326,0,7067,-63.653802,,,,,Lacewood Dr After Dunbrack St (7067),0,7067,
44.663821,0,7066,-63.645219,,,,,Lacewood Dr After Clayton Park Dr (7066),0,7066,
44.661977,0,7065,-63.641012,,,,,Lacewood Dr After Braeside Ln (7065),0,7065,
44.659524,0,7064,-63.666836,,,,,Lacewood Dr After Stratford Way (7064),0,7064,
44.661337,0,7063,-63.63655,,,,,Lacewood Dr After Vimy Ave (7063),0,7063,
44.671345,0,7062,-63.660267,,,,,Knightsridge Dr Before Flamingo Dr (7062),0,7062,
44.671837,0,7061,-63.660224,,,,,Knightsridge Dr After Flamingo Dr (7061),0,7061,
44.670478,0,7060,-63.661962,,,,,Knightsridge Dr After Dunbrack St (7060),0,7060,
44.631907,0,6961,-63.586115,,,,,Inglis St After Bellevue Ave (6961),0,6961,
44.633247,0,6960,-63.58087,,,,,Inglis St Opposite SMU (6960),0,6960,
44.635988,0,6963,-63.569935,,,,,Inglis St Before Barrington St (6963),0,6963,
44.632728,0,6962,-63.582667,,,,,Inglis St After Robie St (6962),0,6962,
44.633096,0,6965,-63.581011,,,,,Inglis St At SMU (6965),0,6965,
44.632027,0,6964,-63.585991,,,,,Inglis St Before Bellevue Ave (6964),0,6964,
44.635059,0,6967,-63.573389,,,,,Inglis St Before South Bland St (6967),0,6967,
44.632766,0,6966,-63.582619,,,,,Inglis St Before Robie St (6966),0,6966,
44.633702,0,6969,-63.578942,,,,,Inglis St Before Tower Rd (6969),0,6969,
44.634539,0,6968,-63.57538,,,,,Inglis St Before South Park St (6968),0,6968,
44.640776,0,8154,-63.614403,,,,,Quinpool Rd Before Civic 7063 (8154),0,8154,
44.641601,0,8155,-63.609559,,,,,Quinpool Rd Before Prince Arthur St (8155),0,8155,
44.642025,0,8152,-63.608215,,,,,Quinpool Rd Before Woodlawn Terr (8152),0,8152,
44.641174,0,8153,-63.616329,,,,,Quinpool Rd At Civic 7111 (8153),0,8153,
44.646925,0,8150,-63.591706,,,,,Quinpool Rd Before Windsor St (8150),0,8150,
44.791092,0,8710,-63.692293,,,,,Beaver Bank Rd After Stokil Dr (8710),0,8710,
44.796844,0,8711,-63.689804,,,,,Beaver Bank Rd After Windgate Dr (8711),0,8711,
44.676062,0,7199,-63.489708,,,,,Merrimac Dr After Silistria Dr (7199),0,7199,
44.676947,0,7198,-63.490887,,,,,Merrimac Dr After Forest Hills Pkwy (7198),0,7198,
44.806872,0,8714,-63.688125,,,,,Beaver Bank Rd Before Majestic Ave (8714),0,8714,
44.813894,0,8715,-63.686147,,,,,Beaver Bank Rd At Civic 619 (8715),0,8715,
44.817559,0,8716,-63.684438,,,,,Beaver Bank Rd Before Pinehaven Dr (8716),0,8716,
